%
(G-code output for Bezier Surface generated from given 4x4 matrix)
(Generated by HARISHKUMAR LAXMIKANT GAJAKOSH)
(As a part of COMPUTER INTEGRATED MANUFACTURING Project)
(Guided By Prof RAKESH LINGAM
(Creation date: 22-May-2022 21:59:42)
(Spindle Speed	= 12000 RPM)
(Tool	= 1)
N1 G90
N2 G21
N3 	G00 	X1.00000 	Y5.00000 	Z2.50000 	F100
N4 	G01 	X1.00000 	Y5.00000 	Z1.00000
N5 	G01 	X1.54119 	Y5.00000 	Z1.11525
N6 	G01 	X2.08474 	Y5.00000 	Z1.22118
N7 	G01 	X2.63058 	Y5.00000 	Z1.31810
N8 	G01 	X3.17869 	Y5.00000 	Z1.40627
N9 	G01 	X3.72900 	Y5.00000 	Z1.48600
N10 	G01 	X4.28147 	Y5.00000 	Z1.55757
N11 	G01 	X4.83606 	Y5.00000 	Z1.62126
N12 	G01 	X5.39270 	Y5.00000 	Z1.67738
N13 	G01 	X5.95137 	Y5.00000 	Z1.72619
N14 	G01 	X6.51200 	Y5.00000 	Z1.76800
N15 	G01 	X7.07455 	Y5.00000 	Z1.80309
N16 	G01 	X7.63898 	Y5.00000 	Z1.83174
N17 	G01 	X8.20522 	Y5.00000 	Z1.85426
N18 	G01 	X8.77325 	Y5.00000 	Z1.87091
N19 	G01 	X9.34300 	Y5.00000 	Z1.88200
N20 	G01 	X9.91443 	Y5.00000 	Z1.88781
N21 	G01 	X10.48750 	Y5.00000 	Z1.88862
N22 	G01 	X11.06214 	Y5.00000 	Z1.88474
N23 	G01 	X11.63833 	Y5.00000 	Z1.87643
N24 	G01 	X12.21600 	Y5.00000 	Z1.86400
N25 	G01 	X12.79511 	Y5.00000 	Z1.84773
N26 	G01 	X13.37562 	Y5.00000 	Z1.82790
N27 	G01 	X13.95746 	Y5.00000 	Z1.80482
N28 	G01 	X14.54061 	Y5.00000 	Z1.77875
N29 	G01 	X15.12500 	Y5.00000 	Z1.75000
N30 	G01 	X15.71059 	Y5.00000 	Z1.71885
N31 	G01 	X16.29734 	Y5.00000 	Z1.68558
N32 	G01 	X16.88518 	Y5.00000 	Z1.65050
N33 	G01 	X17.47409 	Y5.00000 	Z1.61387
N34 	G01 	X18.06400 	Y5.00000 	Z1.57600
N35 	G01 	X18.65487 	Y5.00000 	Z1.53717
N36 	G01 	X19.24666 	Y5.00000 	Z1.49766
N37 	G01 	X19.83930 	Y5.00000 	Z1.45778
N38 	G01 	X20.43277 	Y5.00000 	Z1.41779
N39 	G01 	X21.02700 	Y5.00000 	Z1.37800
N40 	G01 	X21.62195 	Y5.00000 	Z1.33869
N41 	G01 	X22.21758 	Y5.00000 	Z1.30014
N42 	G01 	X22.81382 	Y5.00000 	Z1.26266
N43 	G01 	X23.41065 	Y5.00000 	Z1.22651
N44 	G01 	X24.00800 	Y5.00000 	Z1.19200
N45 	G01 	X24.60583 	Y5.00000 	Z1.15941
N46 	G01 	X25.20410 	Y5.00000 	Z1.12902
N47 	G01 	X25.80274 	Y5.00000 	Z1.10114
N48 	G01 	X26.40173 	Y5.00000 	Z1.07603
N49 	G01 	X27.00100 	Y5.00000 	Z1.05400
N50 	G01 	X27.60051 	Y5.00000 	Z1.03533
N51 	G01 	X28.20022 	Y5.00000 	Z1.02030
N52 	G01 	X28.80006 	Y5.00000 	Z1.00922
N53 	G01 	X29.40001 	Y5.00000 	Z1.00235
N54 	G01 	X30.00000 	Y5.00000 	Z1.00000

N55 	G01 	X30.00000 	Y5.28079 	Z1.02782
N56 	G01 	X29.40001 	Y5.28079 	Z1.03012
N57 	G01 	X28.80006 	Y5.28079 	Z1.03687
N58 	G01 	X28.20022 	Y5.28079 	Z1.04779
N59 	G01 	X27.60051 	Y5.28079 	Z1.06260
N60 	G01 	X27.00100 	Y5.28079 	Z1.08100
N61 	G01 	X26.40173 	Y5.28079 	Z1.10271
N62 	G01 	X25.80274 	Y5.28079 	Z1.12745
N63 	G01 	X25.20410 	Y5.28079 	Z1.15494
N64 	G01 	X24.60583 	Y5.28079 	Z1.18489
N65 	G01 	X24.00800 	Y5.28079 	Z1.21702
N66 	G01 	X23.41065 	Y5.28079 	Z1.25105
N67 	G01 	X22.81382 	Y5.28079 	Z1.28668
N68 	G01 	X22.21758 	Y5.28079 	Z1.32364
N69 	G01 	X21.62195 	Y5.28079 	Z1.36164
N70 	G01 	X21.02700 	Y5.28079 	Z1.40040
N71 	G01 	X20.43277 	Y5.28079 	Z1.43964
N72 	G01 	X19.83930 	Y5.28079 	Z1.47906
N73 	G01 	X19.24666 	Y5.28079 	Z1.51839
N74 	G01 	X18.65487 	Y5.28079 	Z1.55734
N75 	G01 	X18.06400 	Y5.28079 	Z1.59563
N76 	G01 	X17.47409 	Y5.28079 	Z1.63298
N77 	G01 	X16.88518 	Y5.28079 	Z1.66909
N78 	G01 	X16.29734 	Y5.28079 	Z1.70370
N79 	G01 	X15.71059 	Y5.28079 	Z1.73650
N80 	G01 	X15.12500 	Y5.28079 	Z1.76722
N81 	G01 	X14.54061 	Y5.28079 	Z1.79558
N82 	G01 	X13.95746 	Y5.28079 	Z1.82129
N83 	G01 	X13.37562 	Y5.28079 	Z1.84406
N84 	G01 	X12.79511 	Y5.28079 	Z1.86361
N85 	G01 	X12.21600 	Y5.28079 	Z1.87967
N86 	G01 	X11.63833 	Y5.28079 	Z1.89194
N87 	G01 	X11.06214 	Y5.28079 	Z1.90014
